Connecticut December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197004,4.09,-0.04
197005,3.81,-0.12
197006,2.90,-0.80
197007,1.86,-2.05
197008,3.44,-0.79
197009,3.50,-0.49
197010,2.55,-1.12
197011,4.58,0.46
197012,3.28,-0.72
197101,2.33,-1.40
197102,4.66,1.38
197103,3.11,-1.08
197104,2.37,-1.76
197105,4.20,0.27
197106,1.51,-2.19
197107,5.18,1.27
197108,5.02,0.79
197109,5.00,1.01
197110,3.71,0.04
197111,4.98,0.86
197112,2.98,-1.02
197201,2.19,-1.54
197202,4.76,1.48
197203,6.01,1.82
197204,3.78,-0.35
197205,5.58,1.65
197206,11.52,7.82
197207,3.39,-0.52
197208,2.92,-1.31
197209,2.59,-1.40
197210,4.79,1.12
197211,7.90,3.78
197212,7.15,3.15
197301,4.35,0.62
197302,3.45,0.17
197303,3.77,-0.42
197304,6.57,2.44
197305,5.56,1.63
197306,4.92,1.22
197307,4.15,0.24
197308,2.98,-1.25
197309,3.82,-0.17
197310,3.14,-0.53
197311,2.23,-1.89
197312,8.98,4.98
197401,4.45,0.72
197402,2.42,-0.86
197403,5.04,0.85
197404,3.46,-0.67
197405,3.58,-0.35
197406,2.93,-0.77
197407,2.86,-1.05
197408,4.16,-0.07
197409,7.95,3.96
197410,2.94,-0.73
197411,2.27,-1.85
197412,5.28,1.28
197501,5.11,1.38
197502,3.07,-0.21
197503,3.83,-0.36
197504,3.02,-1.11
197505,3.50,-0.43
197506,4.42,0.72
197507,6.22,2.31
197508,3.53,-0.70
197509,8.55,4.56
197510,5.07,1.40
197511,5.57,1.45
197512,4.46,0.46
197601,6.34,2.61
197602,3.15,-0.13
197603,2.89,-1.30
197604,3.33,-0.80
197605,4.61,0.68
197606,2.32,-1.38
197607,4.12,0.21
197608,7.86,3.63
197609,2.61,-1.38
197610,5.78,2.11
197611,0.68,-3.44
197612,3.17,-0.83
197701,2.45,-1.28
197702,2.75,-0.53
197703,7.15,2.96
197704,4.36,0.23
197705,3.16,-0.77
197706,4.13,0.43
197707,2.62,-1.29
197708,3.42,-0.81
197709,7.73,3.74
197710,6.22,2.55
197711,4.76,0.64
197712,5.69,1.69
197801,9.19,5.46
197802,1.53,-1.75
197803,3.66,-0.53
197804,2.07,-2.06
197805,5.95,2.02
197806,2.68,-1.02
